TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
419773412,12,239.473389,-55.679832,2000.0,-5.06661,-9.65268,10.90159475,10.19400024,5728.0,4.51049995,nan,0.93064398
424485401,12,236.529032,-60.907627,2000.0,9.92699,1.35855,10.01952038,10.33199978,5622.0,4.42399979,nan,1.01449001
424780978,12,237.133216,-62.3445,2000.0,-20.8244,-20.1462,28.97455797,9.55099964,6009.0,4.44178009,nan,1.04949999
425945377,12,236.060294,-76.707414,2000.0,-1.75435,19.5532,19.63174404,9.65499973,5527.0,4.36044979,nan,1.07827997
426328935,12,241.768948,-75.232212,2000.0,-51.9028,-58.4039,78.13396306,10.74400043,5530.0,4.48932981,nan,0.92996001
426570636,12,246.772115,-76.00489,2000.0,-25.9337,-2.24589,26.03076675,10.61100006,5976.0,4.54383993,nan,0.92798102
426570988,12,246.471118,-75.595458,2000.0,-44.07,-16.55,47.07512507,10.1420002,5648.0,4.36997986,nan,1.08310997
431269669,12,242.249698,-55.276391,2000.0,5.48227,17.1805,18.03399192,9.50599957,6047.0,4.51690006,nan,0.96894801
442579739,12,237.058984,-33.114189,2000.0,-1.79357,1.00074,2.05386803,9.99300003,5974.0,4.51534986,nan,0.95860201
442726711,12,238.245721,-33.060683,2000.0,32.6338,3.31208,32.80144473,10.41899967,5970.0,4.43922997,nan,1.04571998
442836421,12,239.079524,-30.276857,2000.0,-38.8239,-28.8418,48.36470447,11.35700035,5789.0,4.54450989,nan,0.90203398
447539807,12,253.302415,-64.139972,2000.0,8.9656,-61.2798,61.93218768,10.14799976,5946.0,4.23000002,-0.55000001,0.98182797
449540724,12,160.983542,-76.708199,2000.0,-91.8682,-1.71914,91.88428382,10.60900021,5696.0,4.45040989,nan,0.99326801
451532708,12,262.378649,-84.702793,2000.0,-20.0,-51.0,54.7813837,10.07199955,5864.10009766,4.40999985,0.05,1.07122004
451601544,12,281.387505,-85.526178,2000.0,12.6144,-160.143,160.63904736,9.84300041,5546.0,4.5009799,nan,0.91949201
452501166,12,140.525399,-73.543343,2000.0,-33.8293,-112.108,117.10091888,7.46999979,5519.10009766,4.39734983,-0.178,0.99873799
453100417,12,116.196529,-68.436226,2000.0,-2.03654,34.1201,34.18082385,9.47799969,6053.52001953,4.25475979,-0.28996301,1.09711003
453101363,12,116.240582,-67.285965,2000.0,-50.1974,15.6292,52.57424141,10.16399956,5640.0,4.50966978,nan,0.92128402
453417933,12,151.374976,-76.617043,2000.0,-16.3009,42.5138,45.53177496,10.09599972,5602.0,4.40767002,nan,1.03113997
453982129,12,225.527242,-61.496638,2000.0,-49.4833,88.5387,101.4282918,9.29199982,5679.0,4.46066999,nan,0.979518
454053103,12,225.741507,-65.789596,2000.0,13.7949,-12.7612,18.79221891,10.18900013,5877.0,4.47272015,nan,0.99178702
468148080,12,305.374457,-86.069048,2000.0,-51.2699,16.0708,53.7296311,9.90699959,6073.0,4.43200016,nan,1.07342005
468149463,12,307.271079,-84.575238,2000.0,16.2935,-22.7567,27.98831072,11.62800026,5582.20019531,4.32000017,-0.5,1.09534001
468151470,12,308.224283,-84.566879,2000.0,-3.1,0.4,3.12569992,10.98600006,5638.58984375,4.48000002,-0.51999998,0.90160298
